item_name,source_page_url,image_url,local_filename,status,reason
Abacus,https://bazaardb.gg/card/v4q3hgnbskbxxmf857nw1k7686/Abacus,https://s.bazaardb.gg/v1/z12.0/a99c30b4680e6c5ac56a80f27eaf3e4ceace52c8@256.webp?v=6,Abacus.png,skipped,duplicate-image-content
Admiral's Badge,https://bazaardb.gg/card/18x511g3q77b9c65bgxwnh6jkkx/Admiral's-Badge,https://s.bazaardb.gg/v1/z12.0/2e2bf056e9077816b908b78d6e35f8cd6b320d3f@256.webp?v=6,Admiral's_Badge.png,skipped,duplicate-image-content
Adrenaline Shot,https://bazaardb.gg/card/1b1tz7k8h34797d01sjt3w7jqth/Adrenaline-Shot,https://s.bazaardb.gg/v1/z12.0/70ec2c5e3e87e590b61dc2c77d72ef3484a1fcce@256.webp?v=6,Adrenaline_Shot.png,skipped,duplicate-image-content
Agility Boots,https://bazaardb.gg/card/1948kskkyzc8jb4pslb3dqlb1gp/Agility-Boots,https://s.bazaardb.gg/v1/z12.0/e95c4771c25b59712b70f978804ab8e54eec5973@256.webp?v=6,Agility_Boots.png,skipped,duplicate-image-content
Airplane Glue,https://bazaardb.gg/card/1d9dfhfhxmtswzgl3zpv9v7gp/Airplane-Glue,https://s.bazaardb.gg/v1/z12.0/a76d9032ade7bfcaba70a78933a46895ecf8f118@256.webp?v=6,Airplane_Glue.png,skipped,duplicate-image-content
Alpha Ray,https://bazaardb.gg/card/qkgnk02jqzpks8vdxq4w01nwgq/Alpha-Ray,https://s.bazaardb.gg/v1/z12.0/cdb29be627ce9ce25e59ffff26f0d22b580ada90@256.webp?v=6,Alpha_Ray.png,skipped,duplicate-image-content
Altimeter,https://bazaardb.gg/card/n59d7yj98bvh6nc4mckvh9qgg1/Altimeter,https://s.bazaardb.gg/v1/z12.0/0058266ff5e5370795ffc8dee9f0675fa75e4429@256.webp?v=6,Altimeter.png,skipped,duplicate-image-content
Amber,https://bazaardb.gg/card/62xltfbt99vhtlzhslb2mq8gkl/Amber,https://s.bazaardb.gg/v1/z12.0/fe7e53d4fa13f4815979cb17203b34b05f37ef0a@256.webp?v=6,Amber.png,skipped,duplicate-image-content
Ambergris,https://bazaardb.gg/card/bh56khtk8tchl509m6q9vm453z/Ambergris,https://s.bazaardb.gg/v1/z12.0/137a53e0ce20e9c74b9509f22a2669df953455f0@256.webp?v=6,Ambergris.png,skipped,duplicate-image-content
Ancient Locket,https://bazaardb.gg/card/13lcczzhbqc9w9xjhyjvd7558fl/Ancient-Locket,https://s.bazaardb.gg/v1/z12.0/2da839ba7b2aa02f6fd330fff43cc8c5e91199ad@256.webp?v=6,Ancient_Locket.png,skipped,duplicate-image-content
Ancient Specimen,https://bazaardb.gg/card/wm061jjppfmt0xtb04y16t6nfd/Ancient-Specimen,https://s.bazaardb.gg/v1/z12.0/453481563b47f4c3244e9b52f90c5cf582b25ece@256.webp?v=6,Ancient_Specimen.png,skipped,duplicate-image-content
Angle Grinder Drone,https://bazaardb.gg/card/11h912gz6x1q2dz8k5jhdpt6272/Angle-Grinder-Drone,https://s.bazaardb.gg/v1/z12.0/d7dd9297f343f0ebfd84f49db6c37b39b8f8b951@256.webp?v=6,Angle_Grinder_Drone.png,skipped,duplicate-image-content
Arc Blaster,https://bazaardb.gg/card/ws578cx8g79fb4103vg2k8ndwn/Arc-Blaster,https://s.bazaardb.gg/v1/z12.0/a965c98acbd91d1ddd7e4fa4c92b087c17af8c6c@256.webp?v=6,Arc_Blaster.png,skipped,duplicate-image-content
Arken's Ring,https://bazaardb.gg/card/11m2kkjdwkvh0lb9plgf9d9pdm5/Arken's-Ring,https://s.bazaardb.gg/v1/z12.0/4bb5b3f12ea28e8f3652c0d5988b1e08cadc5d2b@256.webp?v=6,Arken's_Ring.png,skipped,duplicate-image-content
Aviators,https://bazaardb.gg/card/1796pb361flz0km7mv4xx396yls/Aviators,https://s.bazaardb.gg/v1/z12.0/2c40ba427240cdf543a5e104ab31b3ad6dc8a0d3@256.webp?v=6,Aviators.png,skipped,duplicate-image-content
