item_name,source_page_url,image_url,local_filename,status,reason
Log Trap,https://bazaardb.gg/card/pqlm41jccby4ft1s8jxt78bg1q/Log-Trap,https://s.bazaardb.gg/v1/z12.0/1a9fc9fdee72a0e698be6c46751fc7e659a61e3a@256.webp?v=6,Log_Trap.png,downloaded,ok
Dishwasher,https://bazaardb.gg/card/cqd52dvpjp72p3l45w93lxxh7/Dishwasher,https://s.bazaardb.gg/v1/z12.0/88771f1a4ca12107ef301b0544325e893372db75@256.webp?v=6,Dishwasher.png,downloaded,ok
Aurora Vista,https://bazaardb.gg/card/7m6nfyjq6ssq8lmtyjnxg2cmby/Aurora-Vista,https://s.bazaardb.gg/v1/z12.0/410e4b2e295798df4b775831ff5535446b0eaf55@256.webp?v=6,Aurora_Vista.png,downloaded,ok
Bagpipes,https://bazaardb.gg/card/63mc0bxld6ng0mg6g3wjj8p37w/Bagpipes,https://s.bazaardb.gg/v1/z12.0/2a06bac33a4636d5d7dd2327a7fd3fbc48123d6b@256.webp?v=6,Bagpipes.png,downloaded,ok
Bolas,https://bazaardb.gg/card/13nccsgvc2gt51n0tv6hv713xkj/Bolas,https://s.bazaardb.gg/v1/z12.0/da2a1f514ccc7c720199f8697cf86d65a83141b7@256.webp?v=6,Bolas.png,downloaded,ok
Burn Scar,https://bazaardb.gg/card/72tcmvgtyfnq7h1g05g2hpxjt9/Burn-Scar,https://s.bazaardb.gg/v1/z12.0/45ee41f9ad4bcf78ea231be0813a21636dff82c9@256.webp?v=6,Burn_Scar.png,downloaded,ok
Caustic Solvent,https://bazaardb.gg/card/ysh5n8nl33p0cx2tj244sx45st/Caustic-Solvent,https://s.bazaardb.gg/v1/z12.0/bc1eb324b2189a43104dd50dae66b09b8158f9c7@256.webp?v=6,Caustic_Solvent.png,downloaded,ok
Chains,https://bazaardb.gg/card/mncmdcl9xzd3tcvmwmkz69v03j/Chains,https://s.bazaardb.gg/v1/z12.0/08834372b3faa6630187f45069f267c2b3380886@256.webp?v=6,Chains.png,downloaded,ok
Dryad,https://bazaardb.gg/card/127tw1wdhm0nzqy93bqjdgn1z3k/Dryad,https://s.bazaardb.gg/v1/z12.0/555cd39d48e51649f1a165991c6a6815be147132@256.webp?v=6,Dryad.png,downloaded,ok
Dual Reaver,https://bazaardb.gg/card/ml64c29w89xh9k14lp1xg9cp3b/Dual-Reaver,https://s.bazaardb.gg/v1/z12.0/93eec8c1ffa0ca92121a9fe8a4782577981a9656@256.webp?v=6,Dual_Reaver.png,downloaded,ok
Eagle Sigil,https://bazaardb.gg/card/g9mz31v898bxcqz7fqjx9bdj4w/Eagle-Sigil,https://s.bazaardb.gg/v1/z12.0/4be1aad8ddb6cbdbd677f1726ea6e2d62ca0ee08@256.webp?v=6,Eagle_Sigil.png,downloaded,ok
Executioner's Cleaver,https://bazaardb.gg/card/178c1hcsm9d5572nv1vwxwggx46/Executioner's-Cleaver,https://s.bazaardb.gg/v1/z12.0/b30d6958fbb88b61248be743cf6e8a7d562bd1bd@256.webp?v=6,Executioner's_Cleaver.png,downloaded,ok
Fairy Circle,https://bazaardb.gg/card/wbfbg6qx1v589shsspgg8d8dtg/Fairy-Circle,https://s.bazaardb.gg/v1/z12.0/42ff83c1eb79f9b02984cf9c7d1e09e43cea5c3c@256.webp?v=6,Fairy_Circle.png,downloaded,ok
